SchoolYear,ESD,CountyNumber,County,CountyDistrictNumber,District,BuildingNumber,School,SchoolTypeCode,GradeSpan,TotalEnrollment,NumberAmericanIndianorAlaskanNative,PercentAmericanIndianorAlaskanNative,NumberAsian,PercentAsian,NumberPacificIslander,PercentPacificIslander,NumberAsianPacificIslander,PercentAsianPacificIslander,NumberBlack,PercentBlack,NumberHispanic,PercentHispanic,NumberWhite,PercentWhite,NumberTwoOrMoreRaces,PercentTwoOrMoreRaces,NumberMales,PercentMales,NumberFemales,PercentFemales,NumberMigrant,PercentMigrant,NumberTransitionalBilingual,PercentTransitionalBilingual,NumberSpecialEducation,PercentSpecialEducation,NumberFreeorReducedPricedMeals,PercentFreeorReducedPricedMeals,NumberSection504,PercentSection504,NumberFosterCare,PercentFosterCare,StudentsPerClassroomTeacher,AvgYearsEducationalExperience,NumberTeachersWithAtLeastMasterDegree,PercentTeachersWithAtLeastMasterDegree
2015-16,Capital Region ESD 113,14,Grays Harbor,14005,Aberdeen School District,2834,A J West Elementary,P,PK-6      ,395,13,3.29,8,2.03,0,0,8,2.03,3,0.76,168,42.53,187,47.34,16,4.05,203,51.39,192,48.61,2,0.51,77,19.69,76,19.44,284,72.63,3,0.77,N<10,,15,15.9,23,85.19
2015-16,Capital Region ESD 113,14,Grays Harbor,14005,Aberdeen School District,3216,Central Park Elementary,P,K-6       ,158,2,1.27,3,1.9,0,0,3,1.9,2,1.27,28,17.72,109,68.99,14,8.86,79,50,79,50,1,0.6,15,9.04,14,8.43,73,43.98,1,0.6,N<10,,12,21,12,92.31
2015-16,Capital Region ESD 113,14,Grays Harbor,14005,Aberdeen School District,3857,Harbor High School,P,9-12      ,113,6,5.31,1,0.88,1,0.88,2,1.77,4,3.54,26,23.01,67,59.29,8,7.08,62,54.87,51,45.13,4,3.33,9,7.5,18,15,91,75.83,6,5,N<10,,14,16,4,50
2015-16,Capital Region ESD 113,14,Grays Harbor,14005,Aberdeen School District,3154,Hopkins Elementary,P,PK-PK     ,36,0,0,0,0,0,0,0,0,1,2.78,8,22.22,22,61.11,5,13.89,18,50,18,50,0,0,0,0,76,100,55,72.37,0,0,12,15.79,6,15.9,5,83.33
2015-16,Capital Region ESD 113,14,Grays Harbor,14005,Aberdeen School District,3476,J M Weatherwax High School,P,9-12      ,916,35,3.82,31,3.38,6,0.66,37,4.04,8,0.87,254,27.73,546,59.61,36,3.93,475,51.86,441,48.14,16,1.88,51,6,130,15.29,477,56.12,24,2.82,N<10,,16,14.2,32,57.14
2015-16,Capital Region ESD 113,14,Grays Harbor,14005,Aberdeen School District,2449,McDermoth Elementary,P,K-6       ,366,5,1.37,4,1.09,0,0,4,1.09,3,0.82,112,30.6,213,58.2,29,7.92,180,49.18,186,50.82,10,2.72,54,14.67,59,16.03,238,64.67,1,0.27,N<10,,15,12.7,11,44
2015-16,Capital Region ESD 113,14,Grays Harbor,14005,Aberdeen School District,2305,Miller Junior High,P,7-8       ,457,31,6.78,14,3.06,2,0.44,16,3.5,6,1.31,118,25.82,268,58.64,18,3.94,218,47.7,239,52.3,15,3.3,19,4.19,62,13.66,316,69.60,7,1.54,N<10,,17,14.8,16,59.26
2015-16,Capital Region ESD 113,14,Grays Harbor,14005,Aberdeen School District,2763,Robert Gray Elementary,P,PK-6      ,332,10,3.01,1,0.3,1,0.3,2,0.6,2,0.6,121,36.45,173,52.11,24,7.23,154,46.39,178,53.61,21,6.21,64,18.93,48,14.2,233,68.93,4,1.18,N<10,,14,16.3,19,82.61
2015-16,Capital Region ESD 113,14,Grays Harbor,14005,Aberdeen School District,2971,Stevens Elementary School,P,PK-6      ,477,24,5.03,16,3.35,0,0,16,3.35,9,1.89,167,35.01,229,48.01,32,6.71,254,53.25,223,46.75,12,2.47,92,18.93,95,19.55,340,69.96,1,0.21,10,2.06,15,16.6,19,61.29
2015-16,Capital Region ESD 113,21,Lewis,21226,Adna School District,2227,Adna Elementary School,P,PK-5      ,251,3,1.2,2,0.8,0,0,2,0.8,2,0.8,20,7.97,221,88.05,3,1.2,141,56.18,110,43.82,0,0,3,1.16,35,13.51,79,30.50,0,0,N<10,,16,13.9,10,62.5
2015-16,Capital Region ESD 113,21,Lewis,21226,Adna School District,2441,Adna Middle/High School,P,6-12      ,381,1,0.26,2,0.52,0,0,2,0.52,0,0,21,5.51,344,90.29,13,3.41,200,52.49,181,47.51,0,0,0,0,28,7.35,100,26.25,15,3.94,N<10,,18,17.8,19,90.48
2015-16,Educational Service District 101,22,Lincoln,22017,Almira School District,2860,Almira Elementary School,P,K-8       ,109,0,0,0,0,0,0,0,0,0,0,9,8.26,96,88.07,4,3.67,53,48.62,56,51.38,0,0,0,0,10,9.35,38,35.51,2,1.87,N<10,,11,21.1,9,90
2015-16,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,2467,Anacortes High School,P,9-12      ,796,9,1.13,31,3.89,0,0,31,3.89,11,1.38,77,9.67,657,82.54,11,1.38,411,51.63,385,48.37,4,0.53,6,0.8,52,6.94,166,22.16,31,4.14,N<10,,20,17.2,30,75
2015-16,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,2707,Anacortes Middle School,P,7-8       ,452,3,0.66,22,4.87,1,0.22,23,5.09,11,2.43,37,8.19,365,80.75,13,2.88,235,51.99,217,48.01,2,0.44,4,0.88,37,8.19,128,28.32,21,4.65,N<10,,17,14.4,21,80.77
2015-16,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,5176,Cap Sante High School,A,9-12      ,60,2,3.33,1,1.67,0,0,1,1.67,0,0,7,11.67,48,80,2,3.33,31,51.67,29,48.33,0,0,1,1.41,2,2.82,37,52.11,3,4.23,N<10,,30,13.1,2,100
2015-16,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,3182,Fidalgo Elementary,P,K-6       ,443,2,0.45,14,3.16,3,0.68,17,3.84,3,0.68,53,11.96,356,80.36,12,2.71,232,52.37,211,47.63,2,0.46,13,2.98,41,9.4,124,28.44,5,1.15,N<10,,19,15.4,16,69.57
2015-16,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,3252,Island View Elementary,P,K-6       ,456,2,0.44,11,2.41,0,0,11,2.41,4,0.88,54,11.84,377,82.68,8,1.75,229,50.22,227,49.78,2,0.44,15,3.3,53,11.67,150,33.04,15,3.3,N<10,,15,13.9,20,66.67
2015-16,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,3057,Mount Erie Elementary,P,K-6       ,480,4,0.83,15,3.13,1,0.21,16,3.33,6,1.25,48,10,391,81.46,15,3.13,239,49.79,241,50.21,1,0.21,16,3.32,44,9.13,139,28.84,15,3.11,N<10,,18,12.1,21,80.77
2015-16,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,3404,Whitney Elementary Anacortes,P,PK-K      ,124,0,0,3,2.42,0,0,3,2.42,0,0,15,12.1,102,82.26,4,3.23,68,54.84,56,45.16,0,0,8,5.59,62,43.36,24,16.78,0,0,N<10,,16,15.5,6,75
2015-16,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,2523,Arlington High School,P,9-12      ,1665,26,1.56,32,1.92,14,0.84,46,2.76,23,1.38,185,11.11,1340,80.48,45,2.7,873,52.43,792,47.57,13,0.81,30,1.87,159,9.9,384,23.91,56,3.49,N<10,,21,15.9,70,88.61
2015-16,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,2277,Arlington Special Educ School,P,PK-12     ,34,0,0,0,0,0,0,0,0,0,0,4,11.76,30,88.24,0,0,20,58.82,14,41.18,0,0,0,0,61,100,20,32.79,0,0,N<10,,,0,0,
2015-16,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,4327,Eagle Creek Elementary,P,K-5       ,581,6,1.03,4,0.69,0,0,4,0.69,1,0.17,129,22.2,410,70.57,31,5.34,301,51.81,280,48.19,16,2.76,89,15.34,79,13.62,266,45.86,12,2.07,10,1.72,18,10,24,72.73
2015-16,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,5010,Haller Middle School,P,6-8       ,667,10,1.5,17,2.55,5,0.75,22,3.3,9,1.35,88,13.19,506,75.86,32,4.8,341,51.12,326,48.88,3,0.44,19,2.79,75,11.01,199,29.22,20,2.94,N<10,,19,15.1,29,82.86
2015-16,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,4436,Kent Prairie Elementary,P,K-5       ,632,4,0.63,8,1.27,1,0.16,9,1.42,3,0.47,66,10.44,489,77.37,61,9.65,333,52.69,299,47.31,0,0,22,3.5,76,12.08,238,37.84,6,0.95,N<10,,17,14.7,21,56.76
2015-16,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,4573,Pioneer Elementary,P,K-5       ,583,1,0.17,7,1.2,2,0.34,9,1.54,8,1.37,69,11.84,439,75.3,57,9.78,279,47.86,304,52.14,4,0.65,37,6.04,69,11.26,171,27.90,8,1.31,N<10,,18,13.9,20,62.5
2015-16,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,3124,Post Middle School,P,6-8       ,595,7,1.18,12,2.02,2,0.34,14,2.35,7,1.18,69,11.6,477,80.17,21,3.53,317,53.28,278,46.72,4,0.66,18,2.98,67,11.09,222,36.75,15,2.48,N<10,,18,16.5,28,84.85
2015-16,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,4154,Presidents Elementary,P,PK-5      ,542,7,1.29,5,0.92,0,0,5,0.92,0,0,66,12.18,412,76.01,52,9.59,299,55.17,243,44.83,1,0.18,16,2.9,95,17.21,195,35.33,5,0.91,N<10,,16,12.7,21,63.64
2015-16,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,1714,Stillaguamish School,A,K-12      ,132,0,0,1,0.76,0,0,1,0.76,4,3.03,8,6.06,112,84.85,7,5.3,68,51.52,64,48.48,0,0,0,0,7,4.58,37,24.18,8,5.23,N<10,,22,7.9,3,50
2015-16,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,4287,Weston High School,A,9-12      ,117,1,0.85,1,0.85,0,0,1,0.85,2,1.71,20,17.09,91,77.78,2,1.71,67,57.26,50,42.74,0,0,0,0,27,22.13,53,43.44,7,5.74,N<10,,11,9.4,8,72.73
2015-16,Educational Service District 123,02,Asotin,02420,Asotin-Anatone School District,2507,Asotin Elementary,P,PK-5      ,276,1,0.36,3,1.09,0,0,3,1.09,1,0.36,11,3.99,246,89.13,14,5.07,135,48.91,141,51.09,0,0,0,0,46,15.81,101,34.71,3,1.03,N<10,,9,13.4,12,40
2015-16,Educational Service District 123,02,Asotin,02420,Asotin-Anatone School District,2434,Asotin Jr Sr High,P,6-12      ,377,3,0.8,2,0.53,0,0,2,0.53,0,0,28,7.43,324,85.94,20,5.31,185,49.07,192,50.93,0,0,0,0,41,10.99,101,27.08,11,2.95,N<10,,27,16.3,10,71.43
2015-16,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,3825,Alpac Elementary School,P,PK-5      ,580,1,0.17,55,9.48,18,3.1,73,12.59,14,2.41,166,28.62,266,45.86,60,10.34,288,49.66,292,50.34,1,0.17,140,23.22,81,13.43,346,57.38,5,0.83,N<10,,16,12.6,25,69.44
2015-16,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,5082,Arthur Jacobsen Elementary,P,K-5       ,650,0,0,89,13.69,3,0.46,92,14.15,54,8.31,135,20.77,310,47.69,59,9.08,307,47.23,343,52.77,0,0,152,24.2,54,8.6,292,46.50,8,1.27,N<10,,18,10.3,26,72.22
2015-16,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,5037,Auburn Mountainview High School,P,9-12      ,1487,8,0.54,140,9.41,16,1.08,156,10.49,136,9.15,239,16.07,844,56.76,104,6.99,738,49.63,749,50.37,1,0.07,77,5.35,88,6.11,521,36.18,60,4.17,N<10,,20,15.6,46,63.01
2015-16,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,4474,Auburn Riverside High School,P,9-12      ,1594,11,0.69,166,10.41,34,2.13,200,12.55,86,5.4,404,25.35,785,49.25,108,6.78,780,48.93,814,51.07,2,0.13,80,5.17,112,7.24,517,33.40,42,2.71,N<10,,20,17,60,74.07
2015-16,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,2795,Auburn Senior High School,P,9-12      ,1640,47,2.87,105,6.4,64,3.9,169,10.3,123,7.5,463,28.23,690,42.07,148,9.02,874,53.29,766,46.71,11,0.71,105,6.78,228,14.72,890,57.46,50,3.23,10,0.65,18,15.2,59,65.56
2015-16,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,2394,Cascade Middle School,P,6-8       ,751,4,0.53,55,7.32,37,4.93,92,12.25,78,10.39,177,23.57,344,45.81,56,7.46,381,50.73,370,49.27,5,0.67,97,13,95,12.73,457,61.26,21,2.82,N<10,,18,13.1,24,57.14
2015-16,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,3439,Chinook Elementary School,P,PK-5      ,471,60,12.74,18,3.82,20,4.25,38,8.07,19,4.03,193,40.98,99,21.02,62,13.16,255,54.14,216,45.86,2,0.42,119,25,104,21.85,327,68.70,3,0.63,12,2.52,16,9.2,20,66.67
2015-16,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,2932,Dick Scobee Elementary School,P,PK-5      ,546,0,0,27,4.95,32,5.86,59,10.81,44,8.06,171,31.32,201,36.81,71,13,285,52.2,261,47.8,0,0,146,27.09,91,16.88,406,75.32,7,1.3,N<10,,15,8.8,27,75
2015-16,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,3745,Evergreen Heights Elementary,P,K-5       ,496,0,0,79,15.93,17,3.43,96,19.35,47,9.48,103,20.77,186,37.5,64,12.9,243,48.99,253,51.01,0,0,102,20.61,43,8.69,233,47.07,0,0,N<10,,15,13.5,21,61.76
2015-16,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,3669,Gildo Rey Elementary School,P,PK-5      ,591,2,0.34,26,4.4,36,6.09,62,10.49,26,4.4,315,53.3,131,22.17,55,9.31,307,51.95,284,48.05,1,0.17,250,41.67,64,10.67,484,80.67,2,0.33,N<10,,16,9.7,23,60.53
2015-16,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,4347,Hazelwood Elementary School,P,K-5       ,558,9,1.61,45,8.06,18,3.23,63,11.29,5,0.9,152,27.24,292,52.33,37,6.63,289,51.79,269,48.21,0,0,131,23.52,41,7.36,256,45.96,10,1.8,N<10,,17,16.2,24,72.73
2015-16,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,4417,Ilalko Elementary School,P,K-5       ,595,6,1.01,52,8.74,19,3.19,71,11.93,24,4.03,182,30.59,230,38.66,82,13.78,288,48.4,307,51.6,0,0,146,24.62,61,10.29,327,55.14,3,0.51,N<10,,17,13.9,29,80.56
2015-16,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,4120,Lake View Elementary School,P,PK-5      ,388,2,0.52,8,2.06,3,0.77,11,2.84,3,0.77,52,13.4,283,72.94,37,9.54,211,54.38,177,45.62,0,0,34,8.29,91,22.2,175,42.68,7,1.71,N<10,,14,13.5,20,71.43
