SchoolYear,ESD,CountyNumber,County,CountyDistrictNumber,District,BuildingNumber,School,SchoolTypeCode,GradeSpan,TotalEnrollment,NumberAmericanIndianorAlaskanNative,PercentAmericanIndianorAlaskanNative,NumberAsian,PercentAsian,NumberPacificIslander,PercentPacificIslander,NumberAsianPacificIslander,PercentAsianPacificIslander,NumberBlack,PercentBlack,NumberHispanic,PercentHispanic,NumberWhite,PercentWhite,NumberTwoOrMoreRaces,PercentTwoOrMoreRaces,NumberMales,PercentMales,NumberFemales,PercentFemales,NumberMigrant,PercentMigrant,NumberTransitionalBilingual,PercentTransitionalBilingual,NumberSpecialEducation,PercentSpecialEducation,NumberFreeorReducedPricedMeals,PercentFreeorReducedPricedMeals,NumberSection504,PercentSection504,NumberFosterCare,PercentFosterCare,StudentsPerClassroomTeacher,AvgYearsEducationalExperience,NumberTeachersWithAtLeastMasterDegree,PercentTeachersWithAtLeastMasterDegree
2016-17,Puget Sound Educational Service District 121,17,King,17417,Northshore School District,3105,Crystal Springs Elementary,P,PK-6      ,622,2,0.32,140,22.51,1,0.16,141,22.67,18,2.89,118,18.97,272,43.73,71,11.41,316,50.8,306,49.2,0,0,115,18.14,56,8.83,130,20.50,0,0,N<10,,16,11.6,30,75
2016-17,Puget Sound Educational Service District 121,17,King,17417,Northshore School District,4379,East Ridge Elementary,P,PK-6      ,327,0,0,22,6.73,0,0,22,6.73,0,0,21,6.42,260,79.51,24,7.34,162,49.54,165,50.46,0,0,9,2.74,46,13.98,13,3.95,0,0,N<10,,19,19,13,76.47
2016-17,Puget Sound Educational Service District 121,17,King,17417,Northshore School District,4306,Fernwood Elementary,P,PK-6      ,942,1,0.11,372,39.49,2,0.21,374,39.7,16,1.7,70,7.43,416,44.16,65,6.9,466,49.47,476,50.53,0,0,126,12.91,91,9.32,71,7.27,0,0,N<10,,18,11.7,31,60.78
2016-17,Puget Sound Educational Service District 121,17,King,17417,Northshore School District,4355,Frank Love Elementary,P,PK-6      ,658,1,0.15,97,14.74,1,0.15,98,14.89,17,2.58,84,12.77,392,59.57,66,10.03,317,48.18,341,51.82,0,0,98,15.05,75,11.52,119,18.28,0,0,N<10,,16,11.7,20,50
2016-17,Puget Sound Educational Service District 121,17,King,17417,Northshore School District,4124,Hollywood Hill Elementary,P,PK-6      ,368,0,0,18,4.89,0,0,18,4.89,0,0,35,9.51,287,77.99,28,7.61,189,51.36,179,48.64,0,0,13,3.66,50,14.08,33,9.30,0,0,N<10,,15,13.9,16,64
2016-17,Puget Sound Educational Service District 121,17,King,17417,Northshore School District,3492,Inglemoor HS,P,10-12     ,1400,4,0.29,214,15.29,5,0.36,219,15.64,30,2.14,180,12.86,866,61.86,101,7.21,716,51.14,684,48.86,0,0,46,3.36,134,9.78,195,14.23,0,0,N<10,,18,17.8,65,81.25
2016-17,Puget Sound Educational Service District 121,17,King,17417,Northshore School District,2993,Kenmore Elementary,P,PK-6      ,560,0,0,47,8.39,1,0.18,48,8.57,16,2.86,156,27.86,283,50.54,57,10.18,293,52.32,267,47.68,0,0,141,25.04,69,12.26,196,34.81,0,0,N<10,,15,10.9,24,63.16
2016-17,Puget Sound Educational Service District 121,17,King,17417,Northshore School District,3345,Kenmore Middle School,P,7-9       ,623,5,0.8,69,11.08,1,0.16,70,11.24,13,2.09,91,14.61,384,61.64,60,9.63,325,52.17,298,47.83,0,0,41,6.58,92,14.77,108,17.34,0,0,N<10,,17,15,29,78.38
2016-17,Puget Sound Educational Service District 121,17,King,17417,Northshore School District,4455,Kokanee Elementary,P,K-6       ,759,4,0.53,284,37.42,4,0.53,288,37.94,16,2.11,60,7.91,334,44.01,57,7.51,420,55.34,339,44.66,0,0,79,10.19,130,16.77,66,8.52,0,0,N<10,,17,9.4,32,71.11
2016-17,Puget Sound Educational Service District 121,17,King,17417,Northshore School District,3790,Leota Middle School,P,7-9       ,849,3,0.35,154,18.14,2,0.24,156,18.37,12,1.41,109,12.84,500,58.89,69,8.13,463,54.53,386,45.47,0,0,26,3.08,73,8.65,105,12.44,0,0,N<10,,19,13.6,30,66.67
