SchoolYear,ESD,CountyNumber,County,CountyDistrictNumber,District,BuildingNumber,School,SchoolTypeCode,GradeSpan,TotalEnrollment,NumberAmericanIndianorAlaskanNative,PercentAmericanIndianorAlaskanNative,NumberAsian,PercentAsian,NumberPacificIslander,PercentPacificIslander,NumberAsianPacificIslander,PercentAsianPacificIslander,NumberBlack,PercentBlack,NumberHispanic,PercentHispanic,NumberWhite,PercentWhite,NumberTwoOrMoreRaces,PercentTwoOrMoreRaces,NumberMales,PercentMales,NumberFemales,PercentFemales,NumberMigrant,PercentMigrant,NumberTransitionalBilingual,PercentTransitionalBilingual,NumberSpecialEducation,PercentSpecialEducation,NumberFreeorReducedPricedMeals,PercentFreeorReducedPricedMeals,NumberSection504,PercentSection504,NumberFosterCare,PercentFosterCare,StudentsPerClassroomTeacher,AvgYearsEducationalExperience,NumberTeachersWithAtLeastMasterDegree,PercentTeachersWithAtLeastMasterDegree
2017-18,Northwest Educational Service District 189,31,Snohomish,31103,Monroe School District,1643,Out Of District Special Ed,S,PK-11     ,15,0,0,0,0,0,0,0,0,0,0,4,26.67,11,73.33,0,0,10,66.67,5,33.33,0,0,0,0,19,95,3,15.00,0,0,N<10,,,0,0,
2017-18,Northwest Educational Service District 189,31,Snohomish,31103,Monroe School District,5040,Park Place Middle School,P,6-8       ,763,7,0.92,15,1.97,1,0.13,16,2.1,3,0.39,215,28.18,483,63.3,39,5.11,406,53.21,357,46.79,1,0.13,82,10.93,124,16.53,275,36.67,36,4.8,N<10,,,0,0,
2017-18,Northwest Educational Service District 189,31,Snohomish,31103,Monroe School District,4159,Salem Woods Elementary School,P,PK-5      ,496,7,1.41,2,0.4,0,0,2,0.4,1,0.2,61,12.3,394,79.44,31,6.25,253,51.01,243,48.99,1,0.2,35,6.92,75,14.82,104,20.55,21,4.15,N<10,,,0,0,
2017-18,Northwest Educational Service District 189,31,Snohomish,31103,Monroe School District,5154,Shoreline-Monroe High School,5,9-12      ,342,4,1.17,19,5.56,0,0,19,5.56,31,9.06,54,15.79,202,59.06,26,7.6,184,53.8,158,46.2,0,0,0,0,0,0,35,11.33,0,0,N<10,,,0,0,
2017-18,Northwest Educational Service District 189,31,Snohomish,31103,Monroe School District,1777,Sky Valley Education Center,5,K-12      ,871,2,0.23,14,1.61,3,0.34,17,1.95,6,0.69,62,7.12,740,84.96,44,5.05,420,48.22,451,51.78,0,0,0,0,17,1.94,61,6.95,9,1.03,N<10,,,0,0,
2017-18,Northwest Educational Service District 189,31,Snohomish,31103,Monroe School District,1883,Youth Re-Engagement,5,9-12      ,224,2,0.89,1,0.45,0,0,1,0.45,10,4.46,26,11.61,185,82.59,0,0,111,49.55,113,50.45,0,0,0,0,0,0,21,9.29,2,0.88,N<10,,,0,0,
2017-18,Capital Region ESD 113,14,Grays Harbor,14066,Montesano School District,3661,Beacon Avenue Elementary School,P,1-2       ,323,6,1.86,4,1.24,1,0.31,5,1.55,0,0,20,6.19,271,83.9,21,6.5,177,54.8,146,45.2,0,0,10,2.96,71,21.01,127,37.57,0,0,N<10,,,0,0,
2017-18,Capital Region ESD 113,14,Grays Harbor,14066,Montesano School District,2180,Montesano Jr-Sr High,P,7-12      ,657,13,1.98,8,1.22,0,0,8,1.22,0,0,78,11.87,516,78.54,42,6.39,343,52.21,314,47.79,1,0.16,6,0.94,80,12.58,203,31.92,44,6.92,N<10,,,0,0,
2017-18,Capital Region ESD 113,14,Grays Harbor,14066,Montesano School District,3374,Simpson Avenue Elementary,P,3-6       ,413,6,1.45,4,0.97,1,0.24,5,1.21,0,0,46,11.14,323,78.21,33,7.99,210,50.85,203,49.15,0,0,8,1.88,36,8.47,141,33.18,15,3.53,N<10,,,0,0,
2017-18,Capital Region ESD 113,21,Lewis,21214,Morton School District,2678,Morton Elementary School,P,PK-6      ,159,1,0.63,3,1.89,0,0,3,1.89,0,0,16,10.06,125,78.62,14,8.81,77,48.43,82,51.57,0,0,0,0,38,22.89,104,62.65,1,0.6,N<10,,,0,0,
2017-18,Capital Region ESD 113,21,Lewis,21214,Morton School District,3112,Morton Junior-Senior High,P,7-12      ,151,2,1.32,6,3.97,0,0,6,3.97,0,0,17,11.26,117,77.48,9,5.96,82,54.3,69,45.7,0,0,0,0,21,13.64,84,54.55,5,3.25,N<10,,,0,0,
2017-18,North Central Educational Service District 171,13,Grant,13161,Moses Lake School District,3022,Chief Moses Middle School,P,6-8       ,938,3,0.32,9,0.96,1,0.11,10,1.07,10,1.07,432,46.06,458,48.83,25,2.67,476,50.75,462,49.25,38,4.03,127,13.48,135,14.33,535,56.79,30,3.18,N<10,,,0,0,
2017-18,North Central Educational Service District 171,13,Grant,13161,Moses Lake School District,5354,Endeavor Middle School ,P,6-8       ,258,1,0.39,1,0.39,0,0,1,0.39,6,2.33,168,65.12,70,27.13,12,4.65,118,45.74,140,54.26,19,7.34,65,25.1,37,14.29,231,89.19,11,4.25,N<10,,,0,0,
2017-18,North Central Educational Service District 171,13,Grant,13161,Moses Lake School District,2673,Frontier Middle School,P,6-8       ,761,2,0.26,10,1.31,0,0,10,1.31,12,1.58,353,46.39,363,47.7,21,2.76,385,50.59,376,49.41,28,3.78,92,12.43,100,13.51,443,59.86,28,3.78,N<10,,,0,0,
2017-18,North Central Educational Service District 171,13,Grant,13161,Moses Lake School District,3091,Garden Heights Elementary,P,K-5       ,530,2,0.38,3,0.57,0,0,3,0.57,3,0.57,234,44.15,267,50.38,21,3.96,280,52.83,250,47.17,5,0.93,56,10.43,75,13.97,274,51.02,12,2.23,N<10,,,0,0,
2017-18,North Central Educational Service District 171,13,Grant,13161,Moses Lake School District,2833,Knolls Vista Elementary,P,K-5       ,460,1,0.22,9,1.96,0,0,9,1.96,5,1.09,253,55,180,39.13,12,2.61,234,50.87,226,49.13,21,4.63,119,26.21,56,12.33,345,75.99,6,1.32,10,2.2,,0,0,
2017-18,North Central Educational Service District 171,13,Grant,13161,Moses Lake School District,2969,Lakeview Terrace Elementary,P,K-5       ,439,1,0.23,2,0.46,0,0,2,0.46,6,1.37,206,46.92,218,49.66,6,1.37,226,51.48,213,48.52,6,1.37,60,13.73,51,11.67,263,60.18,9,2.06,N<10,,,0,0,
