id,county,rural_urban,urban_influence,less_than_high_school,high_school,bachelors,clinton,trump,otherVotes,totalVotes,num_pov_all,percent_pov_all,num_pov_child,percent_pov_child,labor_total_2014,employed_2014,unemployed_2014,labor_total_2015,employed_2015,unemployed_2015,labor_total_2016,employed_2016,unemployed_2016,labor_total_2017,employed_2017,unemployed_2017,med_household_income_2017,medHHIncome_percent_state_2017,totalPop,white,black,native,asian,pacificIslander,otherRace,multiracial,hispanicLatino,whiteAlone,census_2009,estimate_2010,estimate_2011,estimate_2012,estimate_2013,estimate_2014,estimate_2015,prelim_estimate_2016,projection_2017,id.1,school_name,school_year,k12_enrollment,all_immunizations,any_exempt,medical_exempt,personal_exempt,religious_exempt,religious_mem_exempt,diphtheria_tetanus,pertussis,mmr,polio,hepatitisB,varicella,school_district,start_grade,end_grade,total_enrollment,school_american_indian_alaskan_native,school_asian,school_asian_pacific_islander,school_pacific_islander,school_black,school_hispanic,school_white,school_two_or_more_race,male,female,num_free_reduced_meals,district_number,city,zip,school_code,total_percent_absences,low_income_absence_percent
6,clark,1,1,"24,507","74,832","88,831","92,757","92,441","14,962","200,160","48,088",10.2,"15,499",13.6,"209,309","194,621","14,688","214,351","200,483","13,868","220,790","207,514","13,276",227382,215782,11600,"$74,243 ",104.7,425363,85.4,2,0.9,4.1,0.6,2.9,4,7.6,81.8,"54,370","54,581","54,951","56,054","57,852","61,711","63,639","66,782","71,618",39,pacific middle,2015,1019,287,68,4,60,4,0,51,49,54,49,41,26,evergreen school district (clark),6,8,1009,6,71,14,85,27,119,690,82,516,493,383,6114,vancouver,98684,4209,0.77%,1.43%
28,san juan,9,12,519,"2,196","6,348","7,172","2,688",914,"10,774","1,697",10.3,319,14.8,"7,692","7,308",384,"7,721","7,346",375,"7,874","7,511",363,8235,7911,324,"$59,538 ",83.9,15769,92.6,0.3,0.7,1.1,0.1,2.6,2.5,5.4,90.2,"55,133","53,041","53,916","55,025","60,872","58,782","59,260","61,391","61,185",40,shaw island elementary,2015,14,4,10,0,10,0,0,9,9,9,9,9,10,shaw island school district,0,8,14,0,0,0,0,1,0,13,0,7,7,5,28010,shaw island,98286,3725,0.00%,0.00%
6,clark,1,1,"24,507","74,832","88,831","92,757","92,441","14,962","200,160","48,088",10.2,"15,499",13.6,"209,309","194,621","14,688","214,351","200,483","13,868","220,790","207,514","13,276",227382,215782,11600,"$74,243 ",104.7,425363,85.4,2,0.9,4.1,0.6,2.9,4,7.6,81.8,"54,370","54,581","54,951","56,054","57,852","61,711","63,639","66,782","71,618",42,covington middle,2015,1054,323,75,5,67,3,1,59,58,53,51,49,34,evergreen school district (clark),6,8,1043,3,38,23,61,39,234,649,57,558,485,684,6114,vancouver,98662,3320,1.67%,2.10%
33,stevens,2,2,"3,295","10,412","5,805","5,767","15,161","1,749","22,677","6,589",14.8,"2,258",23.6,"17,400","15,781","1,619","17,451","15,886","1,565","17,882","16,428","1,454",18284,16956,1328,"$52,136 ",73.5,43531,89.4,0.3,5.5,0.5,0.2,0.7,3.3,2.7,87.9,"41,619","40,008","40,282","41,643","45,528","45,683","42,417","44,467","53,245",43,loon lake elementary,2015,101,31,15,0,14,0,1,12,12,12,11,10,13,loon lake school district,-1,6,101,0,0,0,0,0,9,88,4,50,51,96,33183,loon lake,99148,2480,0.05%,0.07%
6,clark,1,1,"24,507","74,832","88,831","92,757","92,441","14,962","200,160","48,088",10.2,"15,499",13.6,"209,309","194,621","14,688","214,351","200,483","13,868","220,790","207,514","13,276",227382,215782,11600,"$74,243 ",104.7,425363,85.4,2,0.9,4.1,0.6,2.9,4,7.6,81.8,"54,370","54,581","54,951","56,054","57,852","61,711","63,639","66,782","71,618",44,cascade middle,2015,905,282,52,3,45,4,0,39,38,37,32,28,18,evergreen school district (clark),6,8,890,8,31,34,65,35,200,520,62,442,448,581,6114,vancouver,98684,3785,1.48%,2.01%
6,clark,1,1,"24,507","74,832","88,831","92,757","92,441","14,962","200,160","48,088",10.2,"15,499",13.6,"209,309","194,621","14,688","214,351","200,483","13,868","220,790","207,514","13,276",227382,215782,11600,"$74,243 ",104.7,425363,85.4,2,0.9,4.1,0.6,2.9,4,7.6,81.8,"54,370","54,581","54,951","56,054","57,852","61,711","63,639","66,782","71,618",47,wyeast middle,2015,882,278,39,3,32,4,0,34,30,26,27,26,12,evergreen school district (clark),6,8,875,10,25,13,38,38,245,487,57,466,409,479,6114,vancouver,98683,4051,1.89%,2.60%
37,whatcom,3,2,"10,788","32,069","47,150","60,340","40,599","8,734","109,673","28,131",13,"5,603",13.1,"101,316","94,670","6,646","104,285","98,036","6,249","107,124","100,951","6,173",110074,104560,5514,"$61,026 ",86,201140,85.4,1,2.8,3.5,0.2,3.3,3.8,7.8,81.9,"49,761","49,294","49,775","51,268","50,879","53,481","54,522","55,710","57,291",49,point roberts primary,2015,18,6,0,0,0,0,0,0,0,0,0,0,0,blaine school district,0,2,18,0,0,0,0,0,0,16,2,5,13,0,37503,point roberts,98281,4459,0.33%,0.93%
17,king,1,1,"110,255","233,178","754,825","718,322","216,339","63,838","998,499","200,415",9.3,"51,372",11.6,"1,158,195","1,103,941","54,254","1,178,040","1,127,580","50,460","1,204,361","1,156,940","47,421",1230208,1184708,45500,"$89,519 ",126.2,1931249,68.7,6.2,0.8,14.6,0.8,3.9,5,8.9,64.8,"65,877","65,383","66,294","68,313","71,122","75,045","80,998","84,897","89,142",50,special ed,2015,6,2,1,0,1,0,0,0,0,0,0,1,0,enumclaw school district,-1,12,20,0,0,0,0,0,0,19,1,11,9,12,17216,enumclaw,98022,1523,0.00%,0.00%
17,king,1,1,"110,255","233,178","754,825","718,322","216,339","63,838","998,499","200,415",9.3,"51,372",11.6,"1,158,195","1,103,941","54,254","1,178,040","1,127,580","50,460","1,204,361","1,156,940","47,421",1230208,1184708,45500,"$89,519 ",126.2,1931249,68.7,6.2,0.8,14.6,0.8,3.9,5,8.9,64.8,"65,877","65,383","66,294","68,313","71,122","75,045","80,998","84,897","89,142",50,special ed,2015,6,2,1,0,1,0,0,0,0,0,0,1,0,enumclaw school district,-1,12,109,1,7,3,10,6,36,49,7,68,41,8,17408,auburn,98002,1915,0.00%,0.00%
6,clark,1,1,"24,507","74,832","88,831","92,757","92,441","14,962","200,160","48,088",10.2,"15,499",13.6,"209,309","194,621","14,688","214,351","200,483","13,868","220,790","207,514","13,276",227382,215782,11600,"$74,243 ",104.7,425363,85.4,2,0.9,4.1,0.6,2.9,4,7.6,81.8,"54,370","54,581","54,951","56,054","57,852","61,711","63,639","66,782","71,618",52,shahala middle,2015,1166,391,63,4,52,7,0,49,47,49,47,44,25,evergreen school district (clark),6,8,1161,0,203,5,208,39,147,672,95,594,567,289,6114,vancouver,98683,4561,0.79%,1.85%
