District Code,District,School Code,School,Days In Year,Grade 1-8 Students,American Indian,Asian,Pacific Islander,Black,Hispanic,White,Two or More Races,Special Education,Bilingual,Low Income,Grade Span,Confirmed Reported Grade 1-8 Data
29103,Anacortes,2707,Anacortes Middle School,163,0.59%,6.34%,0.00%,0.00%,1.57%,0.74%,0.53%,0.31%,1.30%,0.20%,1.43%,8-Jul,Yes
32081,Spokane,2708,Madison Elementary,168,0.63%,0.00%,0.07%,0.00%,0.00%,1.77%,0.51%,0.60%,0.44%,0.07%,0.80%,K-6,Yes
36401,Waitsburg,2712,Waitsburg Elementary School,167,0.15%,0.00%,0.00%,0.00%,0.00%,0.43%,0.09%,0.00%,0.05%,0.20%,0.26%,K-5,Yes
37503,Blaine,2713,Blaine Elementary School,161,0.43%,0.00%,0.10%,0.00%,1.68%,0.48%,0.41%,0.46%,0.62%,0.49%,0.60%,5-Mar,Yes
39002,Union Gap,2714,Union Gap School,172,0.71%,1.10%,0.10%,0.00%,0.58%,0.65%,0.95%,0.90%,1.19%,0.71%,0.74%,PK-8,Yes
39007,Yakima,2715,Hoover Elementary School,168,1.44%,3.87%,4.76%,0.30%,0.30%,1.40%,1.59%,1.72%,2.34%,1.31%,1.66%,PK-5,Yes
39201,Sunnyside,2717,Washington Elementary,157,0.39%,0.00%,0.00%,0.00%,0.00%,0.38%,0.35%,2.17%,0.55%,0.39%,0.39%,PK-5,Yes
39203,Highland,2718,Highland Junior High School,169,0.74%,0.00%,0.00%,0.00%,0.00%,0.75%,0.69%,0.59%,1.75%,0.48%,0.82%,8-Jul,Yes
1160,Ritzville,2719,Ritzville Grade School,162,0.20%,1.85%,0.00%,0.00%,3.40%,0.36%,0.11%,0.00%,0.53%,0.00%,0.39%,K-5,Yes
3400,Richland,2721,Carmichael Middle School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8-Jun,No
5323,Sequim,2722,Helen Haller Elementary School,168,0.83%,2.81%,0.00%,0.00%,0.60%,1.06%,0.77%,0.70%,1.24%,0.46%,1.16%,K-5,Yes
6037,Vancouver,2723,Minnehaha Elementary School,161,0.27%,0.62%,0.00%,0.38%,0.17%,0.37%,0.25%,0.26%,0.41%,0.38%,0.35%,K-5,Yes
6117,Camas,2725,Helen Baller Elem,162,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,K-5,Yes
8122,Longview,2726,Olympic Elementary School,163,1.44%,0.84%,0.09%,0.00%,1.40%,1.81%,1.33%,1.66%,1.65%,1.46%,1.68%,K-5,Yes
17001,Seattle,2729,Eckstein Middle School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8-Jun,No
17001,Seattle,2730,Arbor Heights Elementary School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,K-5,No
17001,Seattle,2733,Lafayette Elementary School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PK-5,No
17401,Highline,2734,McMicken Heights Elementary,166,1.15%,0.00%,0.66%,2.36%,1.02%,1.29%,0.84%,1.65%,1.37%,0.93%,1.32%,PK-6,Yes
17411,Issaquah,2738,Clark Elementary,166,0.34%,1.81%,0.18%,0.00%,0.26%,0.29%,0.28%,0.94%,0.50%,0.34%,0.85%,K-5,Yes
19401,Ellensburg,2741,Lincoln Elementary,166,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,K-5,Yes
22204,Harrington,2743,Harrington Elementary School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,K-6,No
23042,Southside,2744,Southside Elementary,169,0.12%,0.34%,0.00%,0.00%,0.15%,0.03%,0.13%,0.10%,0.18%,0.00%,0.18%,K-7,Yes
23309,Shelton,2745,Evergreen Elementary School,166,1.18%,1.61%,0.00%,1.81%,3.16%,1.07%,1.41%,1.81%,1.52%,1.11%,1.25%,PK-5,Yes
27010,Tacoma,2746,Geiger,163,0.76%,0.82%,0.36%,5.96%,1.34%,0.87%,0.46%,0.81%,1.28%,1.49%,1.35%,K-5,Yes
27010,Tacoma,2747,Downing,163,1.11%,1.35%,0.33%,0.61%,2.15%,1.23%,1.00%,0.59%,1.69%,7.73%,1.88%,PK-5,Yes
27403,Bethel,2748,Kapowsin Elementary,168,0.15%,0.00%,0.00%,0.00%,0.00%,0.15%,0.15%,0.19%,0.08%,0.17%,0.29%,K-5,Yes
28137,Orcas Island,2749,Orcas Island Elementary School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,K-6,No
31002,Everett,2751,Jackson Elementary School,164,0.84%,0.00%,0.08%,0.41%,0.07%,0.99%,0.70%,1.67%,0.94%,0.45%,1.22%,K-5,Yes
31002,Everett,2752,Whittier Elementary,164,0.27%,0.46%,0.00%,0.00%,0.08%,0.10%,0.38%,0.07%,0.23%,0.13%,0.47%,PK-5,Yes
34003,North Thurston,2754,South Bay Elementary,163,0.20%,0.15%,0.03%,0.08%,0.20%,0.58%,0.12%,0.21%,0.45%,1.02%,0.52%,K-5,Yes
39200,Grandview,2756,Thompson Elementary School,169,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,0.00%,0.00%,PK-5,Yes
39207,Wapato,2757,Satus Elementary,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PK-5,No
39208,West Valley (Yakima),2758,Mountainview Elementary,171,0.36%,0.00%,0.00%,0.00%,0.00%,0.32%,0.37%,0.58%,0.68%,0.39%,0.45%,K-4,Yes
3052,Kiona-Benton City,2759,Kiona-Benton City Primary School,166,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,PK-2,Yes
4228,Cascade,2760,Peshastin Dryden Elementary,169,2.23%,1.78%,0.00%,0.00%,5.92%,1.83%,2.45%,1.07%,4.73%,1.65%,3.01%,PK-2,Yes
8401,Castle Rock,2762,Castle Rock Elementary,163,1.77%,3.07%,0.00%,0.61%,1.64%,2.55%,1.70%,1.75%,2.39%,3.68%,2.72%,PK-5,Yes
14005,Aberdeen,2763,Robert Gray Elementary,168,0.89%,0.43%,0.60%,2.38%,0.00%,0.76%,0.94%,1.36%,1.33%,0.74%,1.09%,PK-6,Yes
17401,Highline,2765,Beverly Park Elem at Glendale,166,0.49%,0.68%,0.30%,0.73%,0.55%,0.50%,0.17%,1.05%,0.65%,0.37%,0.54%,PK-6,Yes
19403,Kittitas,2766,Kittitas High School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12-Jun,No
21401,Centralia,2768,Washington Elementary School,164,0.68%,2.44%,0.91%,0.00%,0.30%,0.74%,0.61%,0.61%,1.14%,0.42%,0.80%,K-6,Yes
22105,Odessa,2769,P C Jantz Elementary,168,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.01%,PK-6,Yes
26059,Cusick,2770,Bess Herian Elementary,168,0.18%,0.25%,0.00%,0.00%,0.00%,0.00%,0.09%,0.30%,0.21%,0.00%,0.21%,K-5,Yes
27010,Tacoma,2771,Lister,163,1.54%,4.22%,0.36%,2.16%,2.06%,1.41%,1.23%,1.89%,3.21%,1.17%,1.68%,PK-5,Yes
27010,Tacoma,2772,Fawcett,163,1.23%,1.23%,0.60%,0.92%,2.03%,1.12%,1.17%,1.49%,1.48%,0.73%,1.57%,K-5,Yes
29101,Sedro-Woolley,2774,Mary Purcell Elementary School,168,0.29%,1.39%,0.00%,0.00%,0.00%,0.33%,0.25%,0.48%,0.41%,0.47%,0.35%,K-6,Yes
32356,Central Valley,2776,North Pines Middle School,167,0.69%,0.09%,0.50%,1.14%,0.88%,1.32%,0.58%,0.68%,0.61%,1.16%,0.91%,8-Jun,Yes
34111,Olympia,2778,Roosevelt Elementary School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,K-5,No
36140,Walla Walla,2780,Pioneer Middle School,170,0.64%,0.59%,0.04%,0.29%,2.71%,0.86%,0.50%,0.44%,0.83%,1.79%,1.10%,8-Jun,Yes
39205,Zillah,2783,Hilton Elementary School,160,0.01%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.02%,PK-3,Yes
3400,Richland,2785,Chief Joseph Middle School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8-Jun,No
3400,Richland,2786,Jason Lee Elementary School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PK-5,No
4222,CASHMERE,2787,VALE ELEMENTARY SCHOOL,168,0.19%,0.00%,0.00%,0.00%,0.00%,0.31%,0.10%,0.17%,0.12%,0.39%,0.32%,PK-4,Yes
10309,Republic,2789,Republic Elementary School,173,0.03%,0.12%,0.00%,0.00%,0.58%,0.00%,0.03%,0.03%,0.00%,0.00%,0.04%,K-6,Yes
11001,Pasco,2790,Longfellow Elementary,164,0.76%,0.00%,0.00%,0.00%,0.00%,0.75%,1.16%,1.22%,1.03%,0.51%,0.75%,PK-6,Yes
13146,Warden,2792,Warden Elementary,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PK-5,No
13165,Ephrata,2793,Columbia Ridge Elementary,159,0.38%,0.00%,0.00%,0.00%,0.00%,0.55%,0.26%,0.63%,0.33%,0.50%,0.49%,K-4,Yes
17414,Lake Washington,2796,Juanita Elementary,163,0.98%,0.00%,0.65%,0.00%,2.27%,1.66%,0.71%,0.93%,1.21%,1.39%,2.09%,PK-5,Yes
18400,North Kitsap,2798,David Wolfle Elementary,163,0.51%,0.79%,0.00%,0.00%,0.61%,0.51%,0.39%,0.54%,0.39%,0.41%,0.73%,PK-5,Yes
13301,Grand Coulee Dam,2801,Lake Roosevelt Jr/Sr High School,168,0.74%,1.89%,0.00%,0.00%,0.00%,0.18%,0.12%,0.00%,0.81%,0.00%,1.19%,12-Jul,Yes
13301,Grand Coulee Dam,2802,Lake Roosevelt Elementary,168,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%,0.00%,0.00%,0.04%,PK-6,Yes
25116,Raymond,2803,Raymond Elementary School,169,1.57%,2.07%,0.94%,0.00%,0.00%,2.07%,1.38%,2.17%,2.16%,2.48%,1.90%,K-6,Yes
25118,South Bend,2804,Chauncey Davis Elementary,165,0.02%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.02%,0.02%,0.07%,0.03%,K-6,Yes
27010,Tacoma,2805,Lowell,163,0.27%,0.61%,0.25%,0.20%,0.59%,0.03%,0.28%,0.27%,0.93%,0.00%,0.94%,K-5,Yes
27010,Tacoma,2806,Reed,163,4.10%,7.98%,1.82%,4.50%,5.08%,3.71%,4.07%,4.26%,4.69%,3.61%,4.37%,PK-5,Yes
27404,Eatonville,2808,Columbia Crest A-STEM Academy,165,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,K-8,Yes
27417,Fife,2809,Endeavour Intermediate,166,0.82%,1.08%,0.31%,2.23%,2.37%,0.84%,0.65%,0.44%,1.47%,1.27%,1.26%,5-Feb,Yes
29011,Concrete,2810,Concrete High School,171,1.28%,1.17%,0.00%,0.00%,0.00%,1.49%,1.28%,0.00%,0.94%,0.00%,1.54%,12-Jul,Yes
31002,Everett,2811,Lowell Elementary - Everett,164,0.97%,0.00%,0.43%,0.30%,2.26%,0.94%,0.95%,1.10%,0.85%,0.77%,1.25%,PK-5,Yes
31025,Marysville,2813,Totem Middle School,166,3.14%,8.80%,0.36%,1.20%,6.17%,3.93%,0.76%,4.34%,4.49%,2.33%,5.15%,8-Jun,Yes
32360,Cheney,2814,Sunset Elementary,167,1.25%,2.69%,0.16%,0.83%,0.33%,1.24%,1.25%,1.48%,1.21%,0.84%,1.64%,PK-5,Yes
34033,Tumwater,2816,Littlerock Elementary School,164,0.22%,0.00%,0.00%,0.00%,2.44%,0.33%,0.18%,0.30%,0.29%,0.00%,0.45%,K-6,Yes
37501,Bellingham,2817,Carl Cozier Elementary School,165,0.14%,0.00%,0.00%,0.09%,0.61%,0.25%,0.11%,0.08%,0.28%,0.28%,0.24%,PK-5,Yes
39007,Yakima,2818,Gilbert Elementary School,168,2.98%,2.84%,1.55%,0.00%,4.61%,3.22%,2.37%,3.49%,3.25%,2.74%,3.76%,K-5,Yes
39007,Yakima,2819,Nob Hill Elementary School,168,1.69%,4.96%,0.00%,0.00%,3.27%,1.83%,1.46%,1.23%,2.04%,1.85%,2.39%,K-5,Yes
39090,East Valley (Yakima),2821,Terrace Heights Elementary,168,0.48%,0.00%,0.30%,0.00%,0.20%,0.77%,0.28%,0.33%,0.56%,1.22%,0.63%,K-5,Yes
39208,West Valley (Yakima),2822,Ahtanum Valley Elementary,170,0.38%,0.24%,0.00%,0.00%,0.29%,0.46%,0.37%,0.00%,0.47%,0.28%,0.55%,K-4,Yes
2250,Clarkston,2823,Parkway Elementary,171,0.59%,0.19%,0.00%,0.00%,0.29%,0.78%,0.62%,0.12%,1.11%,0.00%,0.75%,K-6,Yes
3017,Kennewick,2824,Eastgate Elementary School,172,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,PK-5,Yes
3017,Kennewick,2825,Westgate Elementary School,172,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,PK-5,Yes
4228,Cascade,2827,Osborn Elementary,169,0.67%,4.14%,0.00%,0.00%,0.00%,0.93%,0.55%,0.30%,0.74%,0.96%,0.93%,5-Mar,Yes
6037,Vancouver,2828,Walnut Grove Elementary,161,1.03%,3.60%,0.29%,2.44%,0.66%,0.90%,0.92%,2.07%,1.76%,0.85%,1.26%,K-5,Yes
6114,Evergreen (Clark),2829,Mill Plain Elementary School,163,0.61%,0.00%,0.13%,0.75%,0.31%,0.56%,0.73%,0.46%,0.83%,0.65%,0.79%,PK-5,Yes
7002,Dayton,2830,Dayton Elementary School,169,0.23%,0.59%,0.00%,0.00%,0.00%,0.17%,0.24%,0.12%,0.12%,0.00%,0.29%,PK-5,Yes
8122,Longview,2831,Monticello Middle School,163,1.57%,2.29%,0.06%,3.68%,1.93%,1.69%,1.50%,1.32%,1.90%,1.62%,1.96%,8-Jun,Yes
13161,Moses Lake,2832,Peninsula Elementary,163,0.13%,0.00%,0.00%,0.00%,0.00%,0.17%,0.09%,0.20%,0.37%,0.18%,0.18%,K-5,Yes
13161,Moses Lake,2833,Knolls Vista Elementary,163,0.55%,0.61%,0.15%,0.00%,0.27%,0.63%,0.49%,0.20%,0.76%,0.68%,0.67%,K-5,Yes
14005,Aberdeen,2834,A J West Elementary,168,0.99%,0.86%,0.00%,0.00%,2.08%,0.87%,0.97%,2.00%,1.76%,0.78%,1.23%,PK-6,Yes
14065,McCleary,2835,Mccleary Elem,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PK-8,No
16046,Brinnon,2836,Brinnon Elementary,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,K-8,No
17001,Seattle,2838,Catharine Blaine K-8 School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,K-8,No
17001,Seattle,2839,David T. Denny International Middle School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8-Jun,No
17210,Federal Way,2841,Lakeland Elementary School,159,0.30%,0.00%,0.07%,0.34%,1.02%,0.56%,0.14%,0.36%,0.65%,0.52%,0.51%,PK-5,Yes
17401,Highline,2842,Shorewood Elementary,166,1.19%,6.39%,0.96%,0.96%,1.14%,1.98%,0.61%,1.25%,2.17%,1.65%,1.93%,PK-6,Yes
17401,Highline,2844,Gregory Heights Elementary,166,0.64%,2.26%,0.30%,1.78%,0.75%,0.77%,0.43%,0.78%,0.83%,0.89%,0.83%,PK-6,Yes
17405,Bellevue,2846,Enatai Elementary School,161,0.60%,0.00%,0.43%,6.21%,1.71%,1.04%,0.50%,0.55%,0.97%,0.74%,1.45%,PK-5,Yes
17405,Bellevue,2847,Clyde Hill Elementary,161,0.51%,0.00%,0.58%,0.00%,1.99%,0.72%,0.46%,0.17%,2.26%,0.61%,0.87%,PK-5,Yes
17415,Kent,2851,East Hill Elementary School,161,0.41%,0.00%,0.04%,0.14%,0.51%,0.42%,0.05%,1.60%,2.01%,0.25%,0.63%,PK-6,Yes
18100,Bremerton,2853,View Ridge Elementary School,166,0.27%,0.00%,0.00%,0.00%,0.02%,0.03%,0.49%,0.07%,1.36%,0.00%,0.44%,PK-5,Yes
18400,North Kitsap,2854,Hilder Pearson Elementary,163,0.37%,0.00%,0.00%,0.00%,1.33%,0.35%,0.35%,0.53%,0.47%,0.61%,0.88%,PK-5,Yes
21301,Pe Ell,2858,Pe Ell School,166,0.24%,0.00%,0.00%,0.00%,0.00%,0.38%,0.23%,0.40%,0.03%,0.00%,0.31%,PK-12,Yes
21303,White Pass,2859,White Pass Jr. Sr. High School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12-Jul,No
22017,Almira,2860,Almira Elementary School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,K-8,No
22073,Creston,2862,Creston Elementary,172,0.28%,0.00%,0.00%,0.00%,0.00%,0.29%,0.27%,0.58%,0.08%,0.00%,0.58%,K-6,Yes
22073,Creston,2863,Creston Jr-Sr High School,172,0.47%,0.00%,0.00%,0.00%,0.00%,0.00%,0.46%,0.58%,0.00%,0.00%,0.19%,12-Jul,Yes
22009,Reardan-Edwall,2864,Reardan Elementary School,170,0.05%,0.13%,0.00%,0.00%,0.00%,0.00%,0.04%,0.07%,0.00%,0.17%,0.08%,K-5,Yes
23402,Pioneer,2865,Pioneer Middle School,168,0.54%,0.07%,0.00%,0.00%,0.00%,0.41%,0.43%,2.38%,0.48%,1.49%,0.77%,8-Apr,Yes
25155,Naselle-Grays River Valley,2868,Naselle Elementary,172,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,2.33%,0.15%,0.00%,0.08%,K-5,Yes
27003,Puyallup,2870,Karshner Elementary,163,0.84%,0.49%,0.28%,0.00%,0.75%,0.87%,0.82%,1.15%,0.58%,0.84%,1.27%,PK-6,Yes
27010,Tacoma,2871,Edison,163,2.26%,1.23%,0.54%,1.69%,2.90%,2.64%,1.98%,1.95%,2.27%,2.10%,2.55%,PK-5,Yes
27010,Tacoma,2872,Browns Point,163,0.39%,0.00%,0.14%,0.00%,0.56%,0.65%,0.34%,0.47%,0.86%,1.15%,1.09%,K-5,Yes
27010,Tacoma,2874,Whitman,163,3.10%,5.83%,0.90%,3.24%,3.15%,2.67%,3.00%,5.26%,4.15%,1.34%,3.61%,PK-5,Yes
27320,Sumner,2875,Maple Lawn Elementary,165,0.43%,0.00%,0.15%,0.00%,0.00%,0.93%,0.33%,0.51%,0.18%,0.99%,0.90%,PK-5,Yes
27403,Bethel,2877,Elk Plain School of Choice,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,K-8,No
27417,Fife,2878,Discovery Primary School,166,0.38%,1.20%,0.11%,1.10%,0.05%,0.31%,0.21%,0.76%,0.73%,0.37%,0.66%,PK-1,Yes
29320,Mount Vernon,2880,Washington Elementary School,168,0.61%,0.00%,0.00%,1.19%,0.00%,0.59%,0.66%,0.46%,0.47%,0.46%,0.74%,K-5,Yes
30303,Stevenson-Carson,2882,Carson Elementary,159,0.37%,0.00%,0.00%,0.00%,0.00%,0.14%,0.45%,0.05%,1.12%,0.31%,0.70%,6-Mar,Yes
31002,Everett,2883,Hawthorne Elementary School - Everett,164,1.15%,0.61%,0.02%,1.85%,0.57%,0.91%,1.09%,3.61%,1.61%,0.80%,1.24%,PK-5,Yes
31004,Lake Stevens,2884,Mt. Pilchuck Elementary School,166,0.42%,0.00%,0.20%,0.24%,0.45%,0.76%,0.38%,0.47%,0.53%,0.66%,0.64%,K-5,Yes
31004,Lake Stevens,2885,Hillcrest Elementary School,166,0.32%,1.00%,0.02%,0.00%,0.38%,0.42%,0.30%,0.25%,0.68%,0.46%,0.71%,PK-5,Yes
31006,Mukilteo,2886,Fairmount Elementary,160,0.98%,0.00%,0.63%,1.25%,0.77%,1.28%,0.78%,1.40%,1.68%,0.86%,1.28%,K-5,Yes
31015,Edmonds,2887,Martha Lake Elementary,162,0.64%,0.62%,0.26%,0.67%,1.27%,1.08%,0.53%,0.45%,1.44%,0.66%,1.03%,K-6,Yes
31015,Edmonds,2888,Terrace Park Elementary,162,1.04%,0.62%,0.27%,1.85%,0.62%,1.39%,1.00%,1.16%,1.67%,1.53%,1.69%,K-6,Yes
32356,Central Valley,2892,Broadway Elementary,167,1.28%,1.37%,0.00%,3.02%,0.92%,1.63%,1.12%,1.15%,1.43%,1.89%,1.53%,PK-5,Yes
35200,Wahkiakum,2893,Julius A Wendt Elementary/John C Thomas Middle School,165,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,K-8,Yes
38300,Colfax,2894,Leonard M Jennings Elementary,172,0.08%,0.00%,0.00%,0.00%,0.00%,0.13%,0.08%,0.06%,0.03%,0.00%,0.21%,K-6,Yes
38302,Garfield,2895,Garfield Elementary,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PK-5,No
38302,Garfield,2896,Garfield Middle School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8-Jun,No
39003,Naches Valley,2898,Naches Valley Middle School,172,0.08%,0.00%,0.00%,0.00%,0.00%,0.10%,0.06%,0.25%,0.07%,0.15%,0.13%,8-May,Yes
39007,Yakima,2899,Mcclure Elementary School Yakima,168,2.93%,5.75%,0.00%,0.00%,4.17%,2.75%,3.22%,4.13%,3.51%,2.62%,3.66%,PK-5,Yes
1147,Othello,2902,Lutacaga Elementary,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,K-5,No
3116,Prosser,2905,Whitstran Elementary,165,0.27%,0.00%,0.00%,0.00%,0.00%,0.31%,0.15%,0.00%,0.28%,0.36%,0.28%,K-5,Yes
3116,Prosser,2906,Housel Middle School,165,0.86%,0.97%,0.00%,0.00%,0.48%,1.12%,0.48%,0.27%,1.52%,1.23%,1.12%,8-Jun,Yes
4246,Wenatchee,2907,Washington Elementary School,172,0.06%,0.00%,0.00%,0.58%,0.00%,0.10%,0.04%,0.03%,0.05%,0.15%,0.12%,K-5,Yes
5121,Port Angeles,2909,Franklin Elementary,166,0.24%,0.55%,0.00%,0.00%,2.11%,0.00%,0.22%,0.40%,0.60%,0.00%,0.42%,K-6,Yes
6119,Battle Ground,2910,Yacolt Primary,156,0.41%,0.00%,0.00%,0.00%,0.00%,0.47%,0.40%,0.59%,0.70%,0.96%,0.50%,PK-4,Yes
6112,Washougal,2911,Gause Elementary,158,0.17%,0.00%,0.00%,0.00%,0.63%,0.18%,0.17%,0.12%,0.20%,0.25%,0.40%,K-5,Yes
6114,Evergreen (Clark),2912,Orchards Elementary School,163,0.86%,0.15%,0.24%,2.25%,4.14%,0.84%,0.74%,0.99%,1.43%,0.61%,0.92%,PK-5,Yes
8458,Kelso,2913,Carrolls Elementary,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,K-5,No
8122,Longview,2914,Northlake Elementary School,163,0.43%,0.31%,0.00%,1.84%,1.69%,0.37%,0.45%,0.43%,0.74%,0.48%,0.53%,K-5,Yes
8402,Kalama,2915,Kalama Elem School,163,0.81%,1.47%,0.00%,1.53%,0.00%,0.89%,0.81%,0.00%,1.51%,0.94%,1.43%,K-5,Yes
8458,Kelso,2916,Huntington Middle School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8-Jun,No
11051,North Franklin,2918,Connell Elem,167,1.05%,0.00%,0.36%,0.00%,0.00%,1.07%,1.09%,0.82%,1.26%,1.25%,1.17%,K-6,Yes
13144,Quincy,2919,Pioneer Elementary,162,0.42%,0.00%,0.00%,0.00%,0.00%,0.42%,0.45%,0.00%,0.88%,0.32%,0.48%,K-3,Yes
14097,Lake Quinault,2921,Lake Quinault Elementary,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,K-5,No
14400,Oakville,2922,Oakville Elementary,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,K-6,No
17401,Highline,2926,Cedarhurst Elementary,166,0.67%,0.00%,0.47%,4.11%,0.40%,0.68%,0.26%,0.30%,0.80%,0.70%,0.83%,PK-6,Yes
17401,Highline,2927,Sylvester Middle School,167,2.50%,8.38%,0.58%,2.10%,2.37%,4.03%,1.48%,2.28%,6.04%,4.73%,3.37%,8-Jul,Yes
17403,Renton,2929,Lakeridge Elementary School,164,1.98%,1.42%,1.80%,7.14%,1.62%,2.59%,2.16%,2.00%,3.28%,1.26%,2.20%,K-5,Yes
17408,Auburn,2932,Dick Scobee Elementary School,161,0.84%,0.00%,0.14%,1.86%,1.59%,0.88%,0.51%,0.94%,1.15%,0.64%,1.02%,PK-5,Yes
27010,Tacoma,2938,Sherman,163,0.86%,0.00%,0.31%,0.00%,3.30%,0.45%,0.65%,1.96%,2.18%,2.25%,2.41%,K-5,Yes
27010,Tacoma,2939,Delong,163,2.58%,2.25%,1.23%,3.48%,3.75%,2.80%,1.72%,3.58%,5.76%,2.82%,3.28%,K-5,Yes
27010,Tacoma,2940,Arlington,163,0.90%,1.69%,0.00%,0.69%,1.91%,0.58%,0.80%,0.35%,1.57%,0.37%,1.08%,PK-5,Yes
27010,Tacoma,2941,Mann,163,1.18%,0.51%,0.53%,5.41%,1.08%,1.04%,1.15%,1.10%,1.26%,1.71%,1.40%,PK-5,Yes
27400,Clover Park,2943,Custer Elementary School,170,0.76%,0.00%,0.10%,1.21%,0.89%,0.88%,0.66%,0.63%,1.34%,0.77%,0.81%,PK-5,Yes
27401,Peninsula,2944,Harbor Heights Elementary School,166,0.59%,7.83%,0.40%,0.00%,1.36%,0.73%,0.53%,0.71%,0.92%,0.89%,1.11%,PK-5,Yes
27402,Franklin Pierce,2945,James Sales Elementary,165,0.75%,0.15%,0.07%,1.72%,1.12%,0.62%,0.48%,0.98%,1.23%,1.05%,0.82%,K-5,Yes
29100,Burlington-Edison,2946,West View Elementary,169,0.18%,0.00%,0.00%,0.00%,0.00%,0.20%,0.14%,0.00%,0.19%,0.20%,0.23%,K-6,Yes
31063,Index,2948,Index Elementary School,166,1.41%,0.00%,0.00%,0.00%,0.00%,0.00%,1.48%,0.40%,3.25%,0.00%,3.15%,PK-8,Yes
32081,Spokane,2950,Ridgeview Elementary,168,0.52%,0.00%,0.12%,1.49%,0.79%,1.02%,0.46%,0.34%,0.62%,0.30%,0.62%,PK-6,Yes
32081,Spokane,2951,Lincoln Heights Elementary,168,0.36%,2.64%,0.05%,0.00%,0.00%,0.78%,0.27%,0.38%,0.35%,0.02%,0.56%,PK-6,Yes
32081,Spokane,2952,Lidgerwood Elementary,168,0.56%,0.24%,0.00%,0.40%,0.54%,0.58%,0.44%,0.96%,1.18%,0.21%,0.63%,PK-6,Yes
32356,Central Valley,2953,Progress Elementary School,167,0.06%,0.00%,0.24%,0.51%,0.00%,0.05%,0.05%,0.00%,0.02%,0.18%,0.10%,PK-5,Yes
