id,county,rural_urban,urban_influence,high_school,bachelors,clinton,trump,otherVotes,totalVotes,num_pov_all,percent_pov_all,num_pov_child,percent_pov_child,labor_total_2014,employed_2014,unemployed_2014,labor_total_2015,employed_2015,unemployed_2015,labor_total_2016,employed_2016,unemployed_2016,labor_total_2017,employed_2017,unemployed_2017,med_household_income_2017,medHHIncome_percent_state_2017,totalPop,white,black,native,asian,pacificIslander,otherRace,multiracial,hispanicLatino,whiteAlone,census_2009,estimate_2010,estimate_2011,estimate_2012,estimate_2013,estimate_2014,estimate_2015,prelim_estimate_2016,projection_2017
27,Pierce County,1,1,"49,350","146,169","172,538","146,824","29,123","348,485","87,596",10.2,"24,504",12.1," 385,485 "," 358,486 "," 26,999 "," 392,345 "," 366,996 "," 25,349 "," 404,636 "," 380,551 "," 24,085 ",417219,394842,22377,"$69,027",97.3,795225,74.2,6.8,1.4,6,1.3,3.5,6.8,9.2,70.3,"56,555","55,531","56,114","57,162","57,238","59,998","59,566","61,042","65,246"
28,San Juan County,9,12,519,"6,348","7,172","2,688",914,"10,774","1,697",10.3,319,14.8," 7,692 "," 7,308 ",384," 7,721 "," 7,346 ",375," 7,874 "," 7,511 ",363,8235,7911,324,"$59,538",83.9,15769,92.6,0.3,0.7,1.1,0.1,2.6,2.5,5.4,90.2,"55,133","53,041","53,916","55,025","60,872","58,782","59,260","61,391","61,185"
29,Skagit County,3,2,"9,031","21,670","26,690","24,736","4,542","55,968","14,061",11.3,"4,255",15.8," 56,490 "," 52,399 "," 4,091 "," 56,713 "," 52,843 "," 3,870 "," 57,965 "," 54,231 "," 3,734 ",59436,56167,3269,"$65,505",92.3,116901,83.4,0.7,2.2,1.8,0.2,8.7,3.2,16.9,76.7,"55,572","54,426","55,085","56,443","56,058","54,852","56,322","55,524","58,990"
30,Skamania County,1,1,811,"1,959","2,232","2,928",479,"5,639","1,410",12,392,17.8," 4,947 "," 4,540 ",407," 4,950 "," 4,580 ",370," 5,076 "," 4,726 ",350,5218,4896,322,"$59,639",84.1,11066,92.8,0.4,1.6,0.9,0.1,1.3,3,5,89.6,"52,241","50,862","51,223","52,401","51,716","51,429","53,196","52,700","54,729"
31,Snohomish County,1,1,"42,779","166,141","185,227","128,255","28,691","342,173","58,157",7.3,"15,712",8.8," 395,565 "," 374,903 "," 20,662 "," 401,650 "," 382,890 "," 18,760 "," 412,294 "," 394,461 "," 17,833 ",421369,403989,17380,"$82,405",116.2,713335,78.4,2.5,1.4,8.9,0.4,3.8,4.6,9,74.3,"63,297","62,034","62,687","64,033","64,391","68,637","75,292","77,985","80,579"
32,Spokane County,2,2,"21,961","97,348","93,767","113,435","20,044","227,246","69,334",14.1,"18,816",17," 225,474 "," 209,773 "," 15,701 "," 227,903 "," 212,951 "," 14,952 "," 234,478 "," 220,390 "," 14,088 ",240421,227426,12995,"$53,438",75.3,471221,89.2,1.7,1.5,2.1,0.4,1.2,3.8,4.5,86.7,"46,983","46,320","46,846","48,265","48,312","50,856","48,189","49,482","53,809"
33,Stevens County,2,2,"3,295","5,805","5,767","15,161","1,749","22,677","6,589",14.8,"2,258",23.6," 17,400 "," 15,781 "," 1,619 "," 17,451 "," 15,886 "," 1,565 "," 17,882 "," 16,428 "," 1,454 ",18284,16956,1328,"$52,136",73.5,43531,89.4,0.3,5.5,0.5,0.2,0.7,3.3,2.7,87.9,"41,619","40,008","40,282","41,643","45,528","45,683","42,417","44,467","53,245"
34,Thurston County,2,2,"11,679","64,621","68,798","48,624","11,988","129,410","29,034",10.5,"7,476",12.5," 123,392 "," 115,391 "," 8,001 "," 125,764 "," 118,204 "," 7,560 "," 129,787 "," 122,547 "," 7,240 ",134847,128150,6697,"$71,370",100.6,252264,82.4,2.7,1.4,5.2,0.8,2.2,5.3,7.1,78.9,"60,978","60,038","60,621","62,009","63,408","65,288","61,676","63,286","66,725"
35,Wahkiakum County,8,4,264,534,832,"1,344",182,"2,358",518,12.3,167,22.9," 1,276 "," 1,153 ",123," 1,294 "," 1,177 ",117," 1,288 "," 1,178 ",110,1307,1214,93,"$53,694",75.7,3978,94,0.3,1.3,0.6,0.2,0.7,3.1,2.7,92.5,"44,867","44,492","45,083","45,624","43,140","47,174","49,898","50,872","54,667"
36,Walla Walla County,3,2,"4,515","11,399","9,694","13,651","2,074","25,419","7,607",13.6,"2,263",18," 28,460 "," 26,710 "," 1,750 "," 28,054 "," 26,395 "," 1,659 "," 28,715 "," 27,178 "," 1,537 ",29304,27861,1443,"$54,243",76.5,58781,84.5,1.8,1,1.3,0.3,8,3.1,19.7,74.2,"44,267","44,117","44,606","46,147","47,238","50,835","49,619","52,094","55,709"
37,Whatcom County,3,2,"10,788","47,150","60,340","40,599","8,734","109,673","28,131",13,"5,603",13.1," 101,316 "," 94,670 "," 6,646 "," 104,285 "," 98,036 "," 6,249 "," 107,124 "," 100,951 "," 6,173 ",110074,104560,5514,"$61,026",86,201140,85.4,1,2.8,3.5,0.2,3.3,3.8,7.8,81.9,"49,761","49,294","49,775","51,268","50,879","53,481","54,522","55,710","57,291"
38,Whitman County,4,5,"1,075","11,311","8,146","7,403","1,756","17,305","9,161",21.4,"1,043",14.2," 22,153 "," 20,998 "," 1,155 "," 22,754 "," 21,641 "," 1,113 "," 23,110 "," 21,965 "," 1,145 ",23465,22426,1039,"$44,913",63.3,44776,84.6,1.7,0.7,7.8,0.2,1.4,3.6,4.6,82.1,"32,037","31,062","31,396","32,570","43,091","42,218","43,379","49,946","48,665"
39,Yakima County,3,2,"40,106","23,796","31,291","41,735","4,724","77,750","44,726",18.1,"19,143",26.1," 119,487 "," 109,113 "," 10,374 "," 121,810 "," 111,910 "," 9,900 "," 125,834 "," 116,419 "," 9,415 ",126814,118212,8602,"$47,573",67.1,243231,63.7,1,4.3,1.1,0.1,26.1,3.7,45,47.7,"39,836","40,802","41,164","42,162","40,696","43,050","46,422","46,957","48,300"
